feature,disc_power
ct_dst_sport_ltm,4.6215171665281
ct_srv_dst,2.973479538463967
ct_src_dport_ltm,2.923971871436872
ct_srv_src,2.7697298902333847
ct_dst_src_ltm,2.4162810283083824
ct_dst_ltm,1.963265252681767
sttl,1.4473040072854504
ct_src_ltm,0.790081671968959
ct_state_ttl,0.46817056179777666
dttl,0.4200305030653252
swin,0.3868894044798372
dwin,0.380970630926092
dload,0.3664622877466574
tcprtt,0.2841204278923565
ackdat,0.2782803504786068
synack,0.23429044290245682
stcpb,0.2306424366359234
dmean,0.21125351824758587
dtcpb,0.20207922386151922
trans_depth,0.15271470740971838
rate,0.14692766310259
ct_flw_http_mthd,0.11592866726283427
smean,0.08978757345275452
is_sm_ips_ports,0.07165910506118991
sinpkt,0.06246761316392251
sload,0.03783345463649148
response_body_len,0.037322955514025744
is_ftp_login,0.03350389113652318
ct_ftp_cmd,0.03350389113652318
dpkts,0.03011335463190149
dloss,0.026434113381802116
dbytes,0.024626262028233366
djit,0.02310095751750076
dur,0.018347258982085158
sjit,0.017845861561871835
dinpkt,0.012452180907142247
spkts,0.010441033506614598
sloss,0.005224086613383558
sbytes,0.0038496358581142694
